Transaction,Type,Input Currency,Input Amount,Output Currency,Output Amount,USD Equivalent,Fee,Fee Currency,Details,Date / Time (UTC)
NXT20BoZ2yKuIm7unEQq10iCt,Interest,NEXO,0.07243063,NEXO,0.07243063,$0.07,-,-,"approved / NEXO Interest Earned",2026-01-06 06:00:00
NXT1bXzjjxqGldDICtxZBIKlJ,Interest,USDT,2.86569800,USDT,2.86569800,$2.87,-,-,"approved / USDT Interest Earned",2026-01-06 06:00:00
NXT3xz0lhpNn6PDhSpgGCTIiv,Interest,NEXO,0.07242476,NEXO,0.07242476,$0.07,-,-,"approved / NEXO Interest Earned",2026-01-05 06:00:00
NXT2mwnBAI3W5Gh4HxDSrRXYY,Interest,USDT,2.86502200,USDT,2.86502200,$2.86,-,-,"approved / USDT Interest Earned",2026-01-05 06:00:00
NXT5TxkfBnMQZGCCfxJLggZQv,Interest,NEXO,0.07241890,NEXO,0.07241890,$0.07,-,-,"approved / NEXO Interest Earned",2026-01-04 06:00:00
NXT4QP13yPbq3BG9p3l6aOZ2C,Interest,USDT,2.07123200,USDT,2.07123200,$2.07,-,-,"approved / USDT Interest Earned",2026-01-04 06:00:00
NXT7SL71FzZoEHMQC9l0PxZxa,Withdrawal,USDT,-200.23068800,USDT,200.00000000,$200.12,0.23068859,USDT,"approved / USDT withdrawal",2026-01-03 18:52:19
NXT6z0izuYqjVSgMgJCL5T4rn,Exchange Cashback,USDT,8.89951800,USDT,8.89951800,$8.89,-,-,"approved / 0.25 % on top of your Exchange transaction",2026-01-03 16:38:03
NXTCbst92ZHHjM6gw7ts8eF0,Exchange,EURX,-3063.35000000,USDT,3559.80702800,$3557.67,-,-,"approved / Exchange EURX to Tether",2026-01-03 16:38:02
NXT5gZ2OUuGxfuewytMnWZPr2,Exchange Deposited On,EUR,-3063.35000000,EURX,3063.35000000,$3584.12,-,-,"approved / EUR to EURX",2026-01-03 16:17:15
NXT3FHwCKjPXA0BwY8GoRgqhh,Deposit To Exchange,EUR,3063.35000000,EURX,3063.35000000,$3584.12,-,-,"approved / EUR Top Up",2026-01-03 16:17:15
NXT5aNZj8iCiwuBRVvhtEnFX1,Interest,NEXO,0.07241303,NEXO,0.07241303,$0.07,-,-,"approved / NEXO Interest Earned",2026-01-03 06:00:00
NXTVAf6UOKTbjIyB8oXmpD5M,Interest,USDT,2.06864200,USDT,2.06864200,$2.07,-,-,"approved / USDT Interest Earned",2026-01-03 06:00:00
NXT2D6wxP30wF6OEwiLOrw3xt,Fixed Term Interest,NEXO,2.14133149,NEXO,2.14133149,$1.93,-,-,"approved / NEXO Term Deposit Interest in kind",2026-01-02 06:00:00
NXT6CJhqMJPzVofzU4yFlL6Ix,Interest,NEXO,0.06395798,NEXO,0.06395798,$0.06,-,-,"approved / NEXO Interest Earned",2026-01-02 06:00:00
NXT50jk8vXl5REZMM1wYq2d4q,Interest,USDT,2.06815400,USDT,2.06815400,$2.07,-,-,"approved / USDT Interest Earned",2026-01-02 06:00:00
NXT5WKOuWe2dP7xmPqCLq1eY9,Unlocking Term Deposit,NEXO,102.19591258,NEXO,102.19591258,$91.97,-,-,"approved / Transfer from Term Wallet to Savings Wallet",2026-01-02 05:29:47
NXT4525EXTJDF4fPmANaaTM14,Interest,USDT,2.06766500,USDT,2.06766500,$2.06,-,-,"approved / USDT Interest Earned",2026-01-01 06:00:00
NXT19oN1XNDBKMSSbYp3xPVMS,Interest,NEXO,0.06395280,NEXO,0.06395280,$0.06,-,-,"approved / NEXO Interest Earned",2026-01-01 06:00:00
NXT2rq72aYoPtBFZwvqniLqyb,Interest,NEXO,0.06394762,NEXO,0.06394762,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-31 06:00:00
NXT2ViRGaih3hvkUsrqP4WpF7,Interest,USDT,2.06717700,USDT,2.06717700,$2.06,-,-,"approved / USDT Interest Earned",2025-12-31 06:00:00
NXT67RWWjNnv2oHZXbKsBjULv,Interest,USDT,2.06668900,USDT,2.06668900,$2.06,-,-,"approved / USDT Interest Earned",2025-12-30 06:00:00
NXT55o9LMW5lVL8XlwBd55Hs2,Interest,NEXO,0.06394244,NEXO,0.06394244,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-30 06:00:00
NXT5yqsaBnouAU0LqKaTMBecO,Interest,NEXO,0.06393726,NEXO,0.06393726,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-29 06:00:00
NXT50sEZQSliqInlhvEwWW9Ut,Interest,USDT,2.06620100,USDT,2.06620100,$2.06,-,-,"approved / USDT Interest Earned",2025-12-29 06:00:00
NXT73WX0Mq2NM3UqW9X7Inr20,Interest,USDT,2.06571400,USDT,2.06571400,$2.06,-,-,"approved / USDT Interest Earned",2025-12-28 06:00:00
NXT1EJeHCiPx4SjWuIVmq1pI7,Interest,NEXO,0.06393209,NEXO,0.06393209,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-28 06:00:00
NXT1suGmjX8qredVvITNQV4fO,Interest,USDT,2.06522600,USDT,2.06522600,$2.06,-,-,"approved / USDT Interest Earned",2025-12-27 06:00:00
NXT16q7DvyGLUzVJslHw1n7pw,Interest,NEXO,0.06392691,NEXO,0.06392691,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-27 06:00:00
NXT4apc3QBgisda5vCU4Qe05V,Interest,NEXO,0.06392173,NEXO,0.06392173,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-26 06:00:00
NXT31vTEmEZXWU5l6GvyhGEEM,Interest,USDT,2.06473800,USDT,2.06473800,$2.06,-,-,"approved / USDT Interest Earned",2025-12-26 06:00:00
NXT7mkjKXY5CXmq2korjCFTbs,Interest,NEXO,0.06391655,NEXO,0.06391655,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-25 06:00:00
NXT3B6tTjqRF0fjLtrYoYpRuw,Interest,USDT,2.06425100,USDT,2.06425100,$2.06,-,-,"approved / USDT Interest Earned",2025-12-25 06:00:00
NXT2CtvH5ExnDPMKmXN4aOkqU,Interest,NEXO,0.06391138,NEXO,0.06391138,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-24 06:00:00
NXT1k5atS4oxtmBmsE9mPzs0n,Interest,USDT,2.06376400,USDT,2.06376400,$2.06,-,-,"approved / USDT Interest Earned",2025-12-24 06:00:00
NXT1fkEPfiQ5JxchvhgFcXZBI,Interest,NEXO,0.06390620,NEXO,0.06390620,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-23 06:00:00
NXTX9Osj6KsVx3qb8lrQ65yV,Interest,USDT,2.06327600,USDT,2.06327600,$2.06,-,-,"approved / USDT Interest Earned",2025-12-23 06:00:00
NXT6s8Lnggk5raGMu232fb8xZ,Interest,USDT,2.06278900,USDT,2.06278900,$2.06,-,-,"approved / USDT Interest Earned",2025-12-22 06:00:00
NXTyyANvdMWNbJk9Ts98E7ie,Interest,NEXO,0.06390103,NEXO,0.06390103,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-22 06:00:00
NXT3hZUq81P0iM5f7wiuLLYPn,Interest,USDT,2.06230200,USDT,2.06230200,$2.06,-,-,"approved / USDT Interest Earned",2025-12-21 06:00:00
NXT2b8rIiaYTmJgpJuBCohmuY,Interest,NEXO,0.06389585,NEXO,0.06389585,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-21 06:00:00
NXT137M07pC3XKBjvowRRxLsY,Withdrawal,USDT,-500.00000000,USDT,499.77558752,$499.76,0.22441247,USDT,"approved / USDT withdrawal",2025-12-20 12:52:45
NXT6aILOQJwCnKYmKfnRQwcHz,Interest,NEXO,0.06389068,NEXO,0.06389068,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-20 06:00:00
NXTMCdVu3SvZuJFOGKjKWkyN,Interest,USDT,2.17985300,USDT,2.17985300,$2.18,-,-,"approved / USDT Interest Earned",2025-12-20 06:00:00
NXT5En35YAuogAsc1kpImScfh,Interest,NEXO,0.06388551,NEXO,0.06388551,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-19 06:00:00
NXT5E1eXxq1V4lMfyuslW6Nb9,Interest,USDT,2.17933900,USDT,2.17933900,$2.18,-,-,"approved / USDT Interest Earned",2025-12-19 06:00:00
NXT7HsOu5TmYBlJ0Zn0xQw02n,Interest,NEXO,0.06388033,NEXO,0.06388033,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-18 06:00:00
NXT2qDvBvanyXpUXWw5qqgksf,Interest,USDT,2.17882400,USDT,2.17882400,$2.18,-,-,"approved / USDT Interest Earned",2025-12-18 06:00:00
NXT77hL7QnYadyBjnR6H61Rtm,Interest,NEXO,0.06387516,NEXO,0.06387516,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-17 06:00:00
NXT5epOCeLDwNOOjuP7HBc8Pn,Interest,USDT,2.17831000,USDT,2.17831000,$2.18,-,-,"approved / USDT Interest Earned",2025-12-17 06:00:00
NXT4iiAV07ArJUKYh7zaoNFQv,Interest,USDT,2.17779600,USDT,2.17779600,$2.18,-,-,"approved / USDT Interest Earned",2025-12-16 06:00:00
NXTXj0618QqGJZDL5t1CMJuO,Interest,NEXO,0.06386999,NEXO,0.06386999,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-16 06:00:00
NXT7ab717XhQdkBGNk9iUZKEA,Interest,USDT,2.17728100,USDT,2.17728100,$2.18,-,-,"approved / USDT Interest Earned",2025-12-15 06:00:00
NXT2CukOtWbjjacERfWztZLVk,Interest,NEXO,0.06386481,NEXO,0.06386481,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-15 06:00:00
NXT7SIKmICQPzLcjZUwS2Ro17,Interest,USDT,2.17676700,USDT,2.17676700,$2.18,-,-,"approved / USDT Interest Earned",2025-12-14 06:00:00
NXT6mvni2OmtEjU37bApDrCCd,Interest,NEXO,0.06385964,NEXO,0.06385964,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-14 06:00:00
NXT3YmH66BDaa0Jw0RUVcfkX2,Interest,NEXO,0.06385447,NEXO,0.06385447,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-13 06:00:00
NXT2GabEbjTjisskjtdunK9EI,Interest,USDT,2.17625400,USDT,2.17625400,$2.18,-,-,"approved / USDT Interest Earned",2025-12-13 06:00:00
NXT5C7ufv1sdPECbXrnuBvlyR,Interest,NEXO,0.06384930,NEXO,0.06384930,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-12 06:00:00
NXT23C2sKTRvlIz3m9N8bSff9,Interest,USDT,2.17574000,USDT,2.17574000,$2.18,-,-,"approved / USDT Interest Earned",2025-12-12 06:00:00
NXT3aRevhXWDIsVwSVxpb5VPj,Interest,NEXO,0.06384413,NEXO,0.06384413,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-11 06:00:00
NXT2Cbhsi3U90lBAP4rkiIvbk,Interest,USDT,2.17522600,USDT,2.17522600,$2.18,-,-,"approved / USDT Interest Earned",2025-12-11 06:00:00
NXT3qLfHuZtG5KE4iFiaIAOaW,Withdrawal,USDT,-500.00000000,USDT,499.76385336,$500.08,0.23614663,USDT,"approved / USDT withdrawal",2025-12-10 20:54:42
NXT3fn4kbMTChfnyUUtAMKG7i,Interest,USDT,2.29275000,USDT,2.29275000,$2.29,-,-,"approved / USDT Interest Earned",2025-12-10 06:00:00
NXTVpoXB22IrvM5tmepJz5Hb,Interest,NEXO,0.06383896,NEXO,0.06383896,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-10 06:00:00
NXT7RR23CxJVXVH2z2LsccFSu,Interest,NEXO,0.06383379,NEXO,0.06383379,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-09 06:00:00
NXT33kTk9mQ6X9Eg7rWpt0Bzt,Interest,USDT,2.29220900,USDT,2.29220900,$2.29,-,-,"approved / USDT Interest Earned",2025-12-09 06:00:00
NXT1HNssC237GEZj4BKysPS3e,Interest,NEXO,0.06382862,NEXO,0.06382862,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-08 06:00:00
NXTQI0joaKIX2xE1JSGEaSOL,Interest,USDT,2.29166800,USDT,2.29166800,$2.29,-,-,"approved / USDT Interest Earned",2025-12-08 06:00:00
NXT6F2PlJ3USq7vA5aZ8Xf3gF,Interest,USDT,2.29112700,USDT,2.29112700,$2.29,-,-,"approved / USDT Interest Earned",2025-12-07 06:00:00
NXT1ZKxvMcx8aIvgsZ6Cjau9U,Interest,NEXO,0.06382345,NEXO,0.06382345,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-07 06:00:00
NXT2AZxerSaF8rB04C1Xot2Rz,Withdrawal,USDT,-300.23473900,USDT,300.00000000,$300.27,0.23473949,USDT,"approved / USDT withdrawal",2025-12-06 18:36:34
NXT3b1igwhUnhXwt95Cj4AcND,Interest,USDT,2.36146400,USDT,2.36146400,$2.36,-,-,"approved / USDT Interest Earned",2025-12-06 06:00:00
NXT1wTlhnFUwaCU9odpySUBHv,Interest,NEXO,0.06381828,NEXO,0.06381828,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-06 06:00:00
NXT3eH9iULCIyGQeinvq0Gsbf,Withdrawal,USDT,-1765.00000000,USDT,1764.76626115,$1765.43,0.23373884,USDT,"approved / USDT withdrawal",2025-12-05 13:40:51
NXT7FyX0QCqRsBYms2ympg5Pe,Interest,NEXO,0.06381312,NEXO,0.06381312,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-05 06:00:00
NXT2QCeH34JH0FU9VYRw10fFl,Interest,USDT,2.77758000,USDT,2.77758000,$2.78,-,-,"approved / USDT Interest Earned",2025-12-05 06:00:00
NXT3xVWtcgxSq2x3AXXmtTrob,Interest,NEXO,0.06380795,NEXO,0.06380795,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-04 06:00:00
NXTfWpEXTZdOC2hmmFdWi1gi,Interest,USDT,2.77692400,USDT,2.77692400,$2.78,-,-,"approved / USDT Interest Earned",2025-12-04 06:00:00
NXT2HA6DkUpSmfZMGScKPwgN3,Interest,USDT,2.77626800,USDT,2.77626800,$2.78,-,-,"approved / USDT Interest Earned",2025-12-03 06:00:00
NXT2Q8zPhCSckpPwrU2MHfp2,Interest,NEXO,0.06380278,NEXO,0.06380278,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-03 06:00:00
NXT7YiXZ6KApHL9eV51WoTUkN,Interest,USDT,2.77561300,USDT,2.77561300,$2.78,-,-,"approved / USDT Interest Earned",2025-12-02 06:00:00
NXT1GxS3OP9jsnk86cDiH6PZW,Interest,NEXO,0.06379761,NEXO,0.06379761,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-02 06:00:00
NXT4FpzThpv7A4EnlzVX9obJl,Interest,USDT,2.77495800,USDT,2.77495800,$2.78,-,-,"approved / USDT Interest Earned",2025-12-01 06:00:00
NXT1bgXRng7vlOzO04nIvWw4r,Interest,NEXO,0.06379245,NEXO,0.06379245,$0.06,-,-,"approved / NEXO Interest Earned",2025-12-01 06:00:00
NXT6MGVotFpiwdekjOpXQ5yiu,Interest,USDT,2.77430300,USDT,2.77430300,$2.77,-,-,"approved / USDT Interest Earned",2025-11-30 06:00:00
NXT5SDBD7ODqyXyMllMfVQzp6,Interest,NEXO,0.06378728,NEXO,0.06378728,$0.06,-,-,"approved / NEXO Interest Earned",2025-11-30 06:00:00
NXT65mMZtBrR8vZe0QnLHpLsL,Interest,NEXO,0.06378212,NEXO,0.06378212,$0.06,-,-,"approved / NEXO Interest Earned",2025-11-29 06:00:00
NXT15eDVKHCEmcXg6EUkTAO6k,Interest,USDT,1.93620900,USDT,1.93620900,$1.94,-,-,"approved / USDT Interest Earned",2025-11-29 06:00:00
NXT3ruZku8PJJf85By8jUKvPv,Exchange Cashback,USDT,9.31676100,USDT,9.31676100,$9.32,-,-,"approved / 0.25 % on top of your Exchange transaction",2025-11-28 18:44:30
NXT5PiBFTvnmUC9HLs16V0VwC,Exchange,EURX,-3250.10000000,USDT,3726.70435200,$3727.68,-,-,"approved / Exchange EURX to Tether",2025-11-28 18:44:29
NXT76lwq1NIN8C1CQvIg2n5jj,Exchange Deposited On,EUR,-3093.67000000,EURX,3093.67000000,$3588.66,-,-,"approved / EUR to EURX",2025-11-28 18:41:16
NXT4mF87rqQOdHJJiYTJ8gWhx,Deposit To Exchange,EUR,3093.67000000,EURX,3093.67000000,$3588.66,-,-,"approved / EUR Top Up",2025-11-28 18:41:15
NXT5jEk4mGBWXRNRegHgLlnN5,Interest,USDT,2.09159800,USDT,2.09159800,$2.09,-,-,"approved / USDT Interest Earned",2025-11-28 06:00:00
NXT5ikEeihyNzvNivTgSBhzgC,Interest,NEXO,0.06377695,NEXO,0.06377695,$0.06,-,-,"approved / NEXO Interest Earned",2025-11-28 06:00:00
